run_accession	sample_accession	experiment_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp
ERR141688	SAMEA1487354	ERX117692	741158	Homo sapiens subsp. 'Denisova'	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/ERR141688/ERR141688.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR141688/B1087_SR.txt.gz
ERR141691	SAMEA1487354	ERX117695	741158	Homo sapiens subsp. 'Denisova'	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/ERR141691/ERR141691.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR141691/B1102_SR.txt.gz
ERR141693	SAMEA1487354	ERX117697	741158	Homo sapiens subsp. 'Denisova'	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/ERR141693/ERR141693.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR141693/B1108_SR.txt.gz
ERR141694	SAMEA1487354	ERX117698	741158	Homo sapiens subsp. 'Denisova'	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/ERR141694/ERR141694.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR141694/B1109_SR.txt.gz
ERR141697	SAMEA1487354	ERX117701	741158	Homo sapiens subsp. 'Denisova'	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/ERR141697/ERR141697.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR141697/B1130_SR.txt.gz
ERR145619	SAMEA1487354	ERX121547	741158	Homo sapiens subsp. 'Denisova'	ftp.sra.ebi.ac.uk/vol1/fastq/ERR145/ERR145619/ERR145619_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR145/ERR145619/ERR145619_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR145/ERR145619/B1088_r1.txt.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR145/ERR145619/B1088_r2.txt.gz
ERR145621	SAMEA1487354	ERX121549	741158	Homo sapiens subsp. 'Denisova'	ftp.sra.ebi.ac.uk/vol1/fastq/ERR145/ERR145621/ERR145621_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR145/ERR145621/ERR145621_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR145/ERR145621/B1102_r1.txt.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR145/ERR145621/B1102_r2.txt.gz
ERR145623	SAMEA1487354	ERX121551	741158	Homo sapiens subsp. 'Denisova'	ftp.sra.ebi.ac.uk/vol1/fastq/ERR145/ERR145623/ERR145623_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR145/ERR145623/ERR145623_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR145/ERR145623/B1108_r1.txt.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR145/ERR145623/B1108_r2.txt.gz
ERR145625	SAMEA1487354	ERX121553	741158	Homo sapiens subsp. 'Denisova'	ftp.sra.ebi.ac.uk/vol1/fastq/ERR145/ERR145625/ERR145625_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR145/ERR145625/ERR145625_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR145/ERR145625/B1110_r1.txt.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR145/ERR145625/B1110_r2.txt.gz
ERR145627	SAMEA1487354	ERX121555	741158	Homo sapiens subsp. 'Denisova'	ftp.sra.ebi.ac.uk/vol1/fastq/ERR145/ERR145627/ERR145627_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR145/ERR145627/ERR145627_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR145/ERR145627/B1130_r1.txt.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR145/ERR145627/B1130_r2.txt.gz
ERR145628	SAMEA1487354	ERX121556	741158	Homo sapiens subsp. 'Denisova'	ftp.sra.ebi.ac.uk/vol1/fastq/ERR145/ERR145628/ERR145628_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR145/ERR145628/ERR145628_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR145/ERR145628/B1133_r1.txt.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR145/ERR145628/B1133_r2.txt.gz
ERR145629	SAMEA1487354	ERX121557	741158	Homo sapiens subsp. 'Denisova'	ftp.sra.ebi.ac.uk/vol1/fastq/ERR145/ERR145629/ERR145629_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR145/ERR145629/ERR145629_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR145/ERR145629/SL3003_r1.txt.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR145/ERR145629/SL3003_r2.txt.gz
ERR145630	SAMEA1487354	ERX121558	741158	Homo sapiens subsp. 'Denisova'	ftp.sra.ebi.ac.uk/vol1/fastq/ERR145/ERR145630/ERR145630_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR145/ERR145630/ERR145630_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR145/ERR145630/SL3004_r1.txt.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR145/ERR145630/SL3004_r2.txt.gz
ERR141689	SAMEA1487354	ERX117693	741158	Homo sapiens subsp. 'Denisova'	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/ERR141689/ERR141689.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR141689/B1088_SR.txt.gz
ERR141690	SAMEA1487354	ERX117694	741158	Homo sapiens subsp. 'Denisova'	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/ERR141690/ERR141690.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR141690/B1101_SR.txt.gz
ERR141692	SAMEA1487354	ERX117696	741158	Homo sapiens subsp. 'Denisova'	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/ERR141692/ERR141692.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR141692/B1107_SR.txt.gz
ERR141698	SAMEA1487354	ERX117702	741158	Homo sapiens subsp. 'Denisova'	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/ERR141698/ERR141698.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR141698/B1133_SR.txt.gz
ERR141695	SAMEA1487354	ERX117699	741158	Homo sapiens subsp. 'Denisova'	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/ERR141695/ERR141695.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR141695/B1110_SR.txt.gz
ERR141699	SAMEA1487354	ERX117703	741158	Homo sapiens subsp. 'Denisova'	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/ERR141699/ERR141699.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR141699/SL3003_SR.txt.gz
ERR141696	SAMEA1487354	ERX117700	741158	Homo sapiens subsp. 'Denisova'	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/ERR141696/ERR141696.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR141696/B1128_SR.txt.gz
ERR141700	SAMEA1487354	ERX117704	741158	Homo sapiens subsp. 'Denisova'	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/ERR141700/ERR141700.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR141/ERR141700/SL3004_SR.txt.gz
ERR145618	SAMEA1487354	ERX121546	741158	Homo sapiens subsp. 'Denisova'	ftp.sra.ebi.ac.uk/vol1/fastq/ERR145/ERR145618/ERR145618_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR145/ERR145618/ERR145618_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR145/ERR145618/B1087_r1.txt.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR145/ERR145618/B1087_r2.txt.gz
ERR145620	SAMEA1487354	ERX121548	741158	Homo sapiens subsp. 'Denisova'	ftp.sra.ebi.ac.uk/vol1/fastq/ERR145/ERR145620/ERR145620_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR145/ERR145620/ERR145620_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR145/ERR145620/B1101_r1.txt.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR145/ERR145620/B1101_r2.txt.gz
ERR145622	SAMEA1487354	ERX121550	741158	Homo sapiens subsp. 'Denisova'	ftp.sra.ebi.ac.uk/vol1/fastq/ERR145/ERR145622/ERR145622_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR145/ERR145622/ERR145622_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR145/ERR145622/B1107_r1.txt.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR145/ERR145622/B1107_r2.txt.gz
