#rname  startpos  endpos     numreads  covbases  coverage  meandepth   meanbaseq  meanmapq
chrM    1         16569      367       10458     63.1179   1.57728     28.4       48.5
chr4    1         190214555  64753     4169843   2.19218   0.0243194   29.7       52.7
chr21   1         46709983   15902     928876    1.9886    0.0238812   29         39.8
chr3    1         198295559  63732     4067600   2.05128   0.0229159   29.6       54
chr6    1         170805979  54409     3575659   2.0934    0.0227436   29.5       54.5
chr18   1         80373285   25396     1639933   2.0404    0.022573    29.5       51.6
chr10   1         133797422  42739     2681225   2.00394   0.0225352   29.3       50.7
chr7    1         159345973  50120     3250309   2.03978   0.0222802   29.4       51
chr1    1         248956422  77880     4627992   1.85896   0.022253    29.3       46.4
chr5    1         181538259  56610     3666710   2.0198    0.0222391   29.5       53.8
chr2    1         242193529  75461     4920865   2.03179   0.0221748   29.4       53.7
chr12   1         133275309  40935     2673653   2.00611   0.0218217   29.4       53.8
chr8    1         145138636  44195     2890092   1.99126   0.0216459   29.4       54.5
chr13   1         114364328  33922     2220635   1.94172   0.0213234   29.7       51.3
chrX    1         156040895  46494     3065135   1.96432   0.021287    29.5       53.1
chr20   1         64444167   19458     1223910   1.89918   0.0211173   29         49.7
chr11   1         135086622  39032     2541736   1.88156   0.0205096   29.3       54.2
chr16   1         90338345   24894     1532407   1.6963    0.0192117   28.9       47
chr9    1         138394717  37164     2427441   1.754     0.0190602   29.3       49.9
chr17   1         83257441   22913     1402766   1.68485   0.0188261   28.7       49.3
chr14   1         107043718  26620     1736538   1.62227   0.0176504   29.3       54.9
chr19   1         58617616   15284     927542    1.58236   0.0176465   28.2       50.4
chr15   1         101991189  25188     1628882   1.59708   0.0174112   29.2       50
chr22   1         50818468   10883     671477    1.32132   0.0147175   28.5       45.2
chrY    1         57227415   2403      83050     0.145123  0.00237376  29.2       13.3
