#rname      startpos  endpos     numreads  covbases  coverage   meandepth    meanbaseq  meanmapq
KI270335.1  1         1048       155       994       94.8473    9.40935      28.1       0
MT          1         16569      22181     16162     97.5436    82.1561      26.8       44.3
KI270338.1  1         1428       179       1239      86.7647    7.78151      27.9       0
KI270337.1  1         1121       1376      1083      96.6102    67.0455      29         16.2
KI270333.1  1         2699       2623      2581      95.628     53.3046      29.1       15
KI270423.1  1         981        82        616       62.7931    5.38226      27.7       10.1
KI270336.1  1         1026       856       990       96.4912    46.3177      29         16.2
KI270515.1  1         6361       490       5818      91.4636    4.9291       28         43.1
KI270518.1  1         2186       163       1856      84.9039    4.76258      27.5       30.7
KI270744.1  1         168472     12595     82165     48.7707    4.61674      26.6       16.6
KI270590.1  1         4685       329       4349      92.8282    4.33874      27.8       36.3
KI270304.1  1         2165       145       1206      55.7044    4.28268      27.6       5.7
KI270516.1  1         1300       81        1054      81.0769    4.16769      27.7       46.8
KI270517.1  1         3253       214       2539      78.051     4.13311      28.1       40.6
KI270591.1  1         5796       402       4775      82.3844    4.04106      27.6       28
KI270329.1  1         1040       63        862       82.8846    4.03462      28         0.0317
KI270729.1  1         280839     21411     160526    57.1594    3.89863      27.7       15
KI270509.1  1         2318       142       1898      81.8809    3.84901      28.1       37.1
KI270510.1  1         2415       143       2179      90.2277    3.76646      28.1       32.2
KI270508.1  1         1951       107       1703      87.2886    3.57099      27.3       30.3
GL000224.1  1         179693     10440     130349    72.5398    3.57024      26.8       12.4
KI270736.1  1         181920     14559     111431    61.2527    3.54235      27.4       22.7
KI270507.1  1         5353       301       4523      84.4947    3.48832      27.8       40.5
KI270305.1  1         1472       81        728       49.4565    3.44158      27.2       2.59
KI270735.1  1         42811      2455      32770     76.5457    3.40057      27.9       26.3
KI270584.1  1         4513       241       3988      88.3669    3.39464      28         38.1
KI270583.1  1         1400       75        1164      83.1429    3.34071      28.1       37.5
KI270580.1  1         1553       74        1334      85.8983    3.20927      27.6       28.5
KI270442.1  1         392061     22594     255397    65.1422    3.14845      27.6       28.3
KI270529.1  1         1899       94        1561      82.2012    3.13902      27.8       0.851
GL000219.1  1         179198     8929      133760    74.6437    3.10757      27.5       36
KI270411.1  1         2646       146       1502      56.7649    3.08541      27.6       2.14
KI270303.1  1         1942       97        1290      66.4264    3.03296      27.4       2.09
KI270467.1  1         3920       16007     3815      97.3214    234.016      29.5       31.9
