#rname  startpos  endpos     numreads  covbases  coverage  meandepth   meanbaseq  meanmapq
chrM    1         16569      344       11236     67.8134   1.49725     28.6       47.8
chr4    1         190214555  70407     4556546   2.39548   0.0265493   29.7       52.9
chr21   1         46709983   17213     1012770   2.16821   0.0260283   29         40.4
chr3    1         198295559  69406     4485762   2.26216   0.0251087   29.5       54.4
chr5    1         181538259  62525     4085129   2.25029   0.0247062   29.5       54.1
chr7    1         159345973  55125     3615729   2.26911   0.0246878   29.4       51.4
chr10   1         133797422  46547     2936183   2.1945    0.0246225   29.3       50.6
chr18   1         80373285   27439     1790085   2.22721   0.0245825   29.4       51.4
chr1    1         248956422  85332     5109537   2.05238   0.0244966   29.3       46.7
chr6    1         170805979  58025     3847408   2.2525    0.0243781   29.5       54.7
chr2    1         242193529  81442     5342542   2.2059    0.02403     29.4       53.8
chr8    1         145138636  48084     3178637   2.19007   0.0237404   29.4       54.8
chr12   1         133275309  44150     2910928   2.18415   0.0236491   29.3       54.2
chrX    1         156040895  50701     3372360   2.1612    0.0233462   29.5       52.9
chr20   1         64444167   21015     1334343   2.07054   0.0229891   29         49.2
chr13   1         114364328  36267     2386205   2.08649   0.0228875   29.6       51.3
chr11   1         135086622  41867     2762643   2.04509   0.0221266   29.2       54.1
chr16   1         90338345   27267     1697100   1.8786    0.0211981   28.9       47.7
chr17   1         83257441   25421     1580025   1.89776   0.0211359   28.7       49.8
chr9    1         138394717  40518     2672447   1.93103   0.0209262   29.3       50
chr14   1         107043718  29199     1920196   1.79384   0.0194901   29.3       55.1
chr19   1         58617616   16437     1008247   1.72004   0.0191233   28.3       51.1
chr15   1         101991189  27439     1783981   1.74915   0.0191132   29.2       49.6
chr22   1         50818468   11976     746448    1.46885   0.0163757   28.6       45.5
chrY    1         57227415   2624      94229     0.164657  0.00261506  29.3       13.3
