#rname      startpos  endpos     numreads  covbases  coverage  meandepth   meanbaseq  meanmapq
KI270467.1  1         3920       340       3117      79.5153   5.9801      32.2       31.9
KI270466.1  1         1233       69        1210      98.1346   3.64964     32.3       32.9
MT          1         16569      367       10447     63.0515   1.58766     28.4       48.6
KI270337.1  1         1121       22        617       55.0401   1.23283     30.6       21.1
KI270333.1  1         2699       43        1398      51.797    1.05039     31         13.1
KI270336.1  1         1026       13        508       49.5127   0.955166    32.4       24.2
KI270330.1  1         1652       16        750       45.3995   0.714891    28.2       16.4
KI270340.1  1         1428       13        644       45.098    0.691877    30         0
KI270335.1  1         1048       7         366       34.9237   0.507634    29.9       0
KI270438.1  1         112505     765       17652     15.69     0.496165    29.6       28.1
KI270709.1  1         66860      443       11664     17.4454   0.490188    29.6       3.71
KI270733.1  1         179772     1114      32498     18.0773   0.421801    26.9       18.6
KI270423.1  1         981        5         259       26.4016   0.382263    27.2       10.8
KI270516.1  1         1300       6         439       33.7692   0.350769    30.4       38.5
KI270395.1  1         1143       4         300       26.2467   0.265967    30.5       0
KI270509.1  1         2318       8         562       24.245    0.262295    30.5       52
GL000225.1  1         211173     727       24531     11.6165   0.230119    28.5       17.3
GL000220.1  1         161802     546       23327     14.417    0.226932    26.8       3.23
KI270429.1  1         1361       4         303       22.263    0.22263     26.4       55
KI270334.1  1         1368       4         304       22.2222   0.222222    27.9       0
GL000216.2  1         176608     607       17277     9.78268   0.212544    29.2       12.3
KI270510.1  1         2415       6         364       15.0725   0.182195    29.3       46
KI270465.1  1         1774       4         279       15.7272   0.167418    30.9       26.5
KI270392.1  1         971        2         147       15.139    0.15139     31.5       46.5
KI270593.1  1         3041       6         456       14.9951   0.149951    31.4       40
KI270386.1  1         1788       4         244       13.6465   0.14038     27.3       0
KI270530.1  1         2168       4         207       9.54797   0.138376    31.4       0
KI270590.1  1         4685       9         557       11.889    0.13063     29.6       24.3
KI270310.1  1         1201       2         152       12.6561   0.126561    29.3       0
KI270732.1  1         41543      70        4692      11.2943   0.123077    29.6       27.3
KI270393.1  1         1308       2         151       11.5443   0.116208    29.3       0
KI270729.1  1         280839     531       15409     5.48677   0.111284    29.8       14.4
KI270373.1  1         1451       2         152       10.4755   0.104755    32         0
KI270320.1  1         4416       6         456       10.3261   0.103261    28.9       7.33
KI270391.1  1         1484       2         151       10.1752   0.102426    25.6       0
KI270581.1  1         7046       10        636       9.0264    0.0966506   29.2       0
KI270372.1  1         1650       2         142       8.60606   0.0921212   26.4       0
GL000224.1  1         179693     229       13908     7.73987   0.0915617   28.4       14.2
KI270584.1  1         4513       6         382       8.46444   0.0881897   28.7       39.7
KI270744.1  1         168472     205       10934     6.4901    0.0881333   28.3       14.4
KI270735.1  1         42811      59        3096      7.23179   0.0876177   30.4       24.9
KI270507.1  1         5353       6         456       8.51859   0.0851859   32.2       51
KI270591.1  1         5796       6         441       7.6087    0.0778123   31.5       28.3
GL000219.1  1         179198     190       12451     6.94818   0.0755868   29.5       39.9
KI270304.1  1         2165       2         151       6.9746    0.069746    30.6       0
KI270442.1  1         392061     425       21876     5.57974   0.0696473   29.7       30.1
KI270302.1  1         2274       2         146       6.4204    0.0668426   29.8       0
KI270736.1  1         181920     227       10451     5.74483   0.0665842   29.3       26.7
KI270583.1  1         1400       2         49        3.5       0.0664286   33.5       0
KI270711.1  1         42210      38        2102      4.97986   0.0642028   29.2       12.9
KI270375.1  1         2378       2         152       6.39193   0.0639193   29.7       0
KI270751.1  1         150742     132       8755      5.80794   0.0636319   29.4       21.2
KI270757.1  1         71251      63        3941      5.53115   0.0613465   29.5       26.9
GL000205.2  1         185591     153       10269     5.53313   0.0611344   29.1       36.3
GL000226.1  1         15008      12        904       6.02345   0.0607676   29         0
KI270448.1  1         7992       6         413       5.16767   0.0570571   30.3       56.7
GL000214.1  1         137718     108       6925      5.02839   0.0568916   28.7       2.36
KI270722.1  1         194050     154       9849      5.0755    0.0552899   29.5       30
GL000221.1  1         155397     119       7476      4.8109    0.0551941   30         6.9
KI270538.1  1         91309      65        4022      4.40482   0.0524921   30.1       26.8
KI270738.1  1         99375      71        4701      4.73057   0.0522465   29.1       42.8
GL000009.2  1         201709     146       9486      4.70281   0.0521841   29.1       16.7
KI270519.1  1         138126     102       6686      4.84051   0.0520394   29.5       36.6
KI270435.1  1         92983      68        4348      4.67612   0.0509663   30         37.4
KI270528.1  1         2983       2         152       5.09554   0.0509554   28.6       0
KI270587.1  1         2969       2         148       4.98484   0.0498484   31.8       6
KI270756.1  1         79590      68        3696      4.6438    0.0497927   29.6       9.01
KI270588.1  1         6158       4         278       4.51445   0.0483923   30.2       2.75
KI270749.1  1         158759     100       6765      4.26118   0.0462336   30.1       26.4
GL000194.1  1         191469     122       7422      3.87635   0.0449524   28.8       13.4
KI270730.1  1         112551     92        4591      4.07904   0.0447175   29.8       12.5
KI270521.1  1         7642       5         328       4.29207   0.0434441   30.1       24
KI270746.1  1         66486      37        2582      3.88352   0.0422796   30.2       40.1
KI270720.1  1         39050      21        1436      3.67734   0.0381562   29.2       15
KI270724.1  1         39555      21        1309      3.30932   0.0379977   28.2       17.9
KI270511.1  1         8127       4         304       3.74062   0.0374062   29.8       22.8
KI270710.1  1         40176      20        1421      3.53694   0.0366139   29.4       21.8
KI270382.1  1         4215       2         152       3.60617   0.0360617   31.1       0
GL000208.1  1         92689      47        3198      3.45025   0.0358187   30.4       22.3
KI270742.1  1         186739     88        5814      3.11344   0.0347544   29.3       8.41
KI270522.1  1         5674       3         196       3.45435   0.0345435   29.9       40
KI270717.1  1         40062      20        1115      2.78319   0.0338475   28.9       6.2
KI270737.1  1         103838     55        2726      2.62524   0.0324351   29.8       9.05
KI270745.1  1         41891      18        1241      2.96245   0.0314865   27.9       2.44
KI270517.1  1         3253       2         51        1.56778   0.0310483   33         0
KI270750.1  1         148850     67        4146      2.78535   0.0310178   29.5       20.7
KI270713.1  1         40745      16        1105      2.71199   0.0297705   27.2       20.7
GL000008.2  1         209709     91        5558      2.65034   0.0296125   29.4       18.6
KI270753.1  1         62944      25        1669      2.65156   0.029566    28.6       4
KI270716.1  1         153799     61        4065      2.64306   0.0288233   29.4       5.84
KI270322.1  1         21476      8         600       2.79382   0.0283107   30         2.5
KI270741.1  1         157432     60        4057      2.57699   0.027396    29.1       2.18
KI270371.1  1         2805       1         76        2.70945   0.0270945   29.2       0
KI270715.1  1         161471     60        3812      2.3608    0.0267355   29.7       0.8
GL000195.1  1         182896     70        4555      2.49049   0.0262663   28.9       21.1
KI270468.1  1         4055       3         102       2.51541   0.0251541   27.1       20.3
KI270712.1  1         176043     70        3387      1.92396   0.0247326   28.5       18.5
KI270311.1  1         12399      4         154       1.24204   0.0245181   29         17
4           1         190214555  63669     4143133   2.17814   0.023951    29.7       53.4
KI270747.1  1         198735     70        4439      2.23363   0.0237452   30         2.77
KI270739.1  1         73985      23        1740      2.35183   0.0235994   30.7       9.3
KI270515.1  1         6361       2         150       2.35812   0.0235812   29.5       9
KI270582.1  1         6504       2         152       2.33702   0.0233702   30.4       0
KI270718.1  1         38054      12        872       2.29148   0.023309    31.2       10.7
KI270714.1  1         41717      14        943       2.26047   0.0230601   28.3       11.6
KI270754.1  1         40191      13        537       1.33612   0.0229405   27.1       7.23
GL000218.1  1         161147     53        3196      1.98328   0.0228487   30         7.64
3           1         198295559  63409     4051515   2.04317   0.0228063   29.6       54.1
6           1         170805979  54332     3570488   2.09038   0.0227101   29.5       54.6
KI270725.1  1         172810     54        3668      2.12256   0.0226549   30         14.9
5           1         181538259  57418     3721796   2.05014   0.0225857   29.5       53
KI270719.1  1         176845     56        3802      2.14991   0.0225282   30.5       18.9
KI270579.1  1         31033      10        691       2.22666   0.02246     30.2       0
18          1         80373285   25215     1640037   2.04053   0.0224055   29.5       51.9
10          1         133797422  42124     2670079   1.99561   0.02227     29.3       51.3
7           1         159345973  49976     3242653   2.03498   0.0222273   29.4       51.1
KI270512.1  1         22689      8         468       2.06267   0.0221693   30.1       30.4
2           1         242193529  74835     4885539   2.0172    0.0220019   29.4       54.1
12          1         133275309  41031     2680085   2.01094   0.0218748   29.4       53.6
KI270706.1  1         175055     54        3186      1.82      0.0217417   28.3       16.3
8           1         145138636  44012     2884749   1.98758   0.0215743   29.4       54.7
1           1         248956422  75211     4508910   1.81112   0.0214666   29.3       47.8
X           1         156040895  46141     3045114   1.95148   0.0211399   29.5       52.7
KI270731.1  1         150754     47        2982      1.97806   0.0207756   28.3       3.64
