#rname  startpos  endpos     numreads  covbases  coverage  meandepth  meanbaseq  meanmapq
chrM    1         16569      22116     16162     97.5436   81.9284    26.8       44.4
chr21   1         46709983   723880    15122338  32.375    0.938877   27.1       37.7
chr4    1         190214555  2833945   75896726  39.9006   0.912387   27.6       51.2
chr10   1         133797422  1959665   51165560  38.2411   0.887207   27.3       49.4
chr3    1         198295559  2857148   77927295  39.2986   0.884139   27.5       52.7
chr7    1         159345973  2272963   61967224  38.8885   0.872167   27.4       49.8
chr18   1         80373285   1142633   30618558  38.0954   0.871317   27.4       49.9
chr20   1         64444167   926788    24139358  37.4578   0.868125   27.1       48.6
chr1    1         248956422  3523589   88556857  35.5712   0.86633    27.3       46.1
chr6    1         170805979  2411398   66842960  39.1339   0.865584   27.5       52.8
chr5    1         181538259  2547851   69952918  38.5334   0.859767   27.5       52.3
chr2    1         242193529  3393423   93815605  38.7358   0.856966   27.4       52.3
chr12   1         133275309  1854988   51431644  38.5905   0.85052    27.3       52.4
chr8    1         145138636  2004306   55758522  38.4174   0.844662   27.4       53.2
chrX    1         156040895  2132582   59738883  38.2841   0.838964   27.5       50.9
chr11   1         135086622  1811709   50501964  37.3849   0.818552   27.3       52.5
chr13   1         114364328  1490718   39282900  34.3489   0.802356   27.6       49.8
chr17   1         83257441   1097248   29450737  35.3731   0.787899   26.9       48.9
chr16   1         90338345   1166347   30711802  33.9964   0.780779   27         46.8
chr9    1         138394717  1688932   46782377  33.8036   0.745894   27.3       48.5
chr19   1         58617616   719807    19618788  33.4691   0.730684   26.5       50.1
chr15   1         101991189  1162239   32034350  31.4089   0.695506   27.2       48.9
chr14   1         107043718  1217227   33934088  31.7011   0.693545   27.3       53.4
chr22   1         50818468   536527    13547131  26.6579   0.63019    26.7       44.5
chrY    1         57227415   163996    1436585   2.51031   0.140076   27.3       13.6
