#rname      startpos  endpos     numreads  covbases   coverage  meandepth   meanbaseq  meanmapq
KI270580.1  1         1553       230       1546       99.5493   9.83773     28.1       31.5
GL000214.1  1         137718     20337     124095     90.108    9.47668     26.9       3.2
KI270732.1  1         41543      5905      40664      97.8841   9.42804     28.1       26.9
KI270757.1  1         71251      10170     58106      81.5511   8.90167     28.1       24.7
KI270305.1  1         1472       191       975        66.2364   8.57677     27.8       4.29
KI270395.1  1         1143       144       1082       94.6632   8.51969     27.9       0.25
KI270388.1  1         1216       160       1081       88.898    8.48191     27.6       2.59
KI270583.1  1         1400       181       1392       99.4286   8.46643     27.9       34.9
KI270468.1  1         4055       549       3890       95.9309   8.44118     28         29.5
KI270711.1  1         42210      5302      38631      91.521    8.24452     27.2       14.1
KI270746.1  1         66486      8185      64448      96.9347   8.17891     28.2       34.4
KI270519.1  1         138126     17410     127721     92.467    8.09444     28.2       35.6
KI270303.1  1         1942       253       1743       89.7528   7.95005     27.3       4.22
KI270530.1  1         2168       252       1371       63.238    7.73939     27.8       0.444
KI270751.1  1         150742     17720     138349     91.7787   7.59439     28         18.3
KI270730.1  1         112551     16961     88298      78.4515   7.28222     27.6       12.3
KI270511.1  1         8127       894       7723       95.0289   7.05426     28.1       35.3
KI270538.1  1         91309      9738      55055      60.2953   7.04626     28         26.8
KI270467.1  1         3920       44755     3683       93.9541   688.568     29.8       32.1
KI270448.1  1         7992       888       7718       96.5716   6.93881     28.2       33
KI270411.1  1         2646       313       2103       79.4785   6.87755     27.3       2.31
KI270512.1  1         22689      2573      19739      86.9981   6.77064     27.9       23.9
GL000205.2  1         185591     19639     156469     84.3085   6.72912     27.5       37.6
KI270435.1  1         92983      9832      82734      88.9776   6.6528      28         27.4
KI270724.1  1         39555      4139      33798      85.4456   6.43499     26.9       21.5
KI270593.1  1         3041       307       2868       94.3111   6.41006     28.2       28.1
KI270320.1  1         4416       432       2716       61.5036   6.37477     27.3       3.07
KI270316.1  1         1444       147       918        63.5734   6.3615      27.8       3.14
KI270723.1  1         38115      3949      31910      83.7203   6.25525     26.6       20.8
KI270588.1  1         6158       586       5571       90.4677   6.24212     28.2       26.5
GL000009.2  1         201709     18929     188310     93.3573   6.16877     27.7       17.1
KI270589.1  1         44474      4545      32330      72.6942   6.14741     28         13.7
GL000194.1  1         191469     17814     173907     90.8278   6.10355     27.5       15.8
GL000226.1  1         15008      1269      12018      80.0773   6.01652     28.5       0.411
KI270466.1  1         1233       11264     1233       100       568.9       29.7       36
KI270733.1  1         179772     161885    153081     85.1529   56.7921     26         19.6
KI270709.1  1         66860      52717     62975      94.1894   52.436      28.3       4.78
KI270340.1  1         1428       1067      1427       99.93     50.3599     27.9       0.101
KI270722.1  1         194050     17844     179810     92.6617   5.98904     27.7       30
KI270420.1  1         2321       212       1895       81.6458   5.96812     27.9       8.7
KI270737.1  1         103838     11502     87046      83.8287   5.89075     27.9       6.52
KI270522.1  1         5674       563       4822       84.9841   5.75608     27.8       18.3
KI270738.1  1         99375      10239     84575      85.1069   5.61466     28         28.6
KI270720.1  1         39050      3344      34703      88.8681   5.52031     27.9       27.4
KI270756.1  1         79590      9232      67182      84.4101   5.51185     27.8       8.51
KI270422.1  1         1445       121       984        68.0969   5.15917     27.2       1.34
KI270742.1  1         186739     14526     162502     87.0209   5.14279     27.9       7.71
KI270393.1  1         1308       106       1039       79.4343   5.1422      27.6       0.509
KI270302.1  1         2274       178       1393       61.2577   5.07608     27.4       1.73
KI270315.1  1         2276       188       1881       82.645    5.02065     27.6       5.11
GL000225.1  1         211173     179237    202371     95.8319   48.7606     26.9       16.9
KI270438.1  1         112505     84259     81309      72.2715   47.5748     28.1       26.8
KI270330.1  1         1652       1142      1615       97.7603   45.6174     27.3       14.7
GL000208.1  1         92689      7120      81301      87.7138   4.91698     28         23.5
KI270741.1  1         157432     11634     137398     87.2745   4.70242     27.5       2.01
KI270713.1  1         40745      2971      34103      83.6986   4.70072     26.9       21.2
GL000221.1  1         155397     11103     135652     87.2938   4.69177     27.9       3.88
KI270749.1  1         158759     11125     139465     87.847    4.63334     28.2       18
GL000008.2  1         209709     15957     165845     79.0834   4.60105     27.6       17.1
KI270387.1  1         1537       108       1314       85.4912   4.53221     27.7       1.17
KI270362.1  1         3530       243       3199       90.6232   4.43569     27.8       25.5
KI270386.1  1         1788       117       1390       77.7405   4.4245      28         1.28
KI270391.1  1         1484       114       857        57.7493   4.39892     27.5       3.18
KI270396.1  1         1880       126       1555       82.7128   4.275       27.8       0.603
KI270417.1  1         2043       137       1893       92.6579   4.26285     28.1       42.2
KI270710.1  1         40176      2601      33865      84.2916   4.23984     28.2       13.5
KI270587.1  1         2969       201       2458       82.7888   4.21051     28.6       21.4
KI270394.1  1         970        61        786        81.0309   4.08351     28.6       0.361
KI270334.1  1         1368       793       1296       94.7368   38.0175     27.9       0
