#rname  startpos  endpos     numreads  covbases   coverage  meandepth  meanbaseq  meanmapq
chr21   1         46709983   2258576   28019301   59.9857   3.05016    27.3       38.1
chrM    1         16569      66957     16553      99.9034   257.849    26.9       45.3
chr4    1         190214555  8812524   142025841  74.6661   2.96269    27.8       51.4
chr10   1         133797422  6076955   97154540   72.6132   2.86644    27.5       49.6
chr3    1         198295559  8876564   146819840  74.0409   2.86558    27.7       53
chr7    1         159345973  7061013   117083151  73.4773   2.825      27.6       50.1
chr1    1         248956422  11001213  168157970  67.5451   2.82059    27.5       46.2
chr18   1         80373285   3541048   57930970   72.0774   2.81869    27.7       50.2
chr6    1         170805979  7488102   126064912  73.8059   2.80551    27.7       53.2
chr20   1         64444167   2880691   45968131   71.3302   2.80466    27.3       48.7
chr5    1         181538259  7939681   132379491  72.921    2.79582    27.7       52.6
chr2    1         242193529  10522745  177478203  73.2795   2.77262    27.6       52.6
chr12   1         133275309  5765202   97825767   73.4013   2.75591    27.5       52.7
chr8    1         145138636  6209209   105962627  73.0079   2.73136    27.6       53.6
chrX    1         156040895  6627530   113881082  72.9816   2.722      27.7       51.2
chr11   1         135086622  5612684   96773960   71.6384   2.64228    27.5       52.9
chr13   1         114364328  4633864   73201286   64.0071   2.60695    27.8       50
chr17   1         83257441   3412112   57253414   68.7667   2.54452    27         49
chr16   1         90338345   3614258   58657170   64.9305   2.51612    27.1       46.9
chr9    1         138394717  5246564   89069268   64.3589   2.41494    27.5       48.8
chr19   1         58617616   2248847   38626178   65.8952   2.36348    26.6       50.4
chr15   1         101991189  3609381   61140569   59.9469   2.2494     27.4       49.1
chr14   1         107043718  3774537   64665541   60.4104   2.24367    27.5       53.7
chr22   1         50818468   1662003   25980652   51.1244   2.0282     26.9       44.9
chrY    1         57227415   478571    2832168    4.94897   0.420476   27.4       13.6
